id,name,type,synonyms
HP:0000081,Duplicated collecting system,Phenotype,Double collecting system | Double urinary collecting systems on intravenous pyelography | Duplex collecting system | Duplicated renal collecting system
HP:0000083,Renal insufficiency,Phenotype,Renal failure | Renal failure in adulthood
HP:0000085,Horseshoe kidney,Phenotype,Fused kidneys | Horseshoe kidneys
HP:0000086,Ectopic kidney,Phenotype,Abnormal kidney location | Displaced kidney | Ectopic kidneys | Renal ectopia
HP:0000089,Renal hypoplasia,Phenotype,Hypoplastic kidney | Hypoplastic kidneys | Small kidneys | Underdeveloped kidneys
HP:0000090,Nephronophthisis,Phenotype,juvenile nephronophthisis
HP:0000091,Abnormal renal tubule morphology,Phenotype,Abnormality of the renal tubule | Morphologic abnormality of the renal tubules
HP:0000092,Renal tubular atrophy,Phenotype,Renal tubular cell atrophy | Tubular atrophy
HP:0000093,Proteinuria,Phenotype,High urine protein levels | Protein in urine
HP:0000095,Abnormal renal glomerulus morphology,Phenotype,Abnormality of renal glomerulus morphology | Morphologic abnormality of the renal glomerulus
HP:0000096,Glomerular sclerosis,Phenotype,Renal glomerular fibrosis | Glomerulosclerosis
HP:0000097,Focal segmental glomerulosclerosis,Phenotype,Focal and segmental glomerular sclerosis | Focal and segmental glomerulosclerosis | focal glomerulosclerosis
HP:0000098,Tall stature,Phenotype,Accelerated linear growth | Increased body height | Increased linear growth
HP:0000099,Glomerulonephritis,Phenotype,Glomerular nephritis
HP:0000100,Nephrotic syndrome,Phenotype,Nephrosis
HP:0000103,Polyuria,Phenotype,Increased urine output
HP:0000104,Renal agenesis,Phenotype,Absent kidney | Missing kidney | Renal aplasia
HP:0000105,Enlarged kidney,Phenotype,Large kidneys | Nephromegaly | Renal enlargement | Large kidney
HP:0000107,Renal cyst,Phenotype,Kidney cyst | Cystic kidney disease | Cystic kidneys | Renal cysts
HP:0000108,Renal corticomedullary cysts,Phenotype,Corticomedullary renal cysts | Renal corticomedullary cystic disease
HP:0000110,Renal dysplasia,Phenotype,Dysplastic kidneys | Renal adysplasia
HP:0000111,Renal juxtaglomerular cell hypertrophy/hyperplasia,Phenotype,
HP:0000112,Nephropathy,Phenotype,Kidney damage | Kidney disease
HP:0000113,Polycystic kidney dysplasia,Phenotype,Polycystic kidneys | Polycystic kidney disease
HP:0000114,Proximal tubulopathy,Phenotype,Proximal renal tubule defect | Proximal renal tubulopathy | Proximal tubular defect | Proximal tubule dysfunction | Selective proximal tubular damage
HP:0000117,Renal phosphate wasting,Phenotype,Decreased renal tubular phosphate reabsorption | Decreased tubular maximum for phosphate reabsorption per glomerular filtration rate | Tubular phosphate reabsorption low
HP:0000118,Phenotypic abnormality,Phenotype,Organ abnormality
HP:0000119,Abnormality of the genitourinary system,Phenotype,Abnormality of the GU system | Genitourinary abnormality | Genitourinary tract anomalies | Genitourinary tract malformation | Urogenital abnormalities | Urogenital anomalies | Genitourinary disease | Genitourinary dysplasia
HP:0000121,Nephrocalcinosis,Phenotype,Too much calcium deposited in kidneys | Increased calcium level in kidney
HP:0000122,Unilateral renal agenesis,Phenotype,Absent kidney on one side | Missing one kidney | Single kidney | Unilateral kidney agenesis
HP:0000123,Nephritis,Phenotype,Kidney inflammation
HP:0000124,Renal tubular dysfunction,Phenotype,Abnormal function of filtrating structures in kidney | Renal tubular defect | Renal tubular disease
HP:0000125,Pelvic kidney,Phenotype,Sacral kidney
HP:0000126,Hydronephrosis,Phenotype,
HP:0000127,Renal salt wasting,Phenotype,Loss of salt in urine | Renal salt-wasting | Salt wasting | Salt-wasting
HP:0000128,Renal potassium wasting,Phenotype,Renal K wasting
HP:0000130,Abnormality of the uterus,Phenotype,Uterine abnormalities | Uterine malformations
HP:0000131,Uterine leiomyoma,Phenotype,Benign uterine leiomyomas | Uterine fibroid
HP:0000132,Menorrhagia,Phenotype,Abnormally heavy bleeding during menstruation | Abnormally heavy periods | Hypermenorrhea
HP:0000133,Gonadal dysgenesis,Phenotype,Mixed gonadal dysgenesis | Pure gonadal dysgenesis
HP:0000134,Female hypogonadism,Phenotype,"Hypogonadism, female"
HP:0000135,Hypogonadism,Phenotype,Decreased activity of gonads
HP:0000136,Bifid uterus,Phenotype,
HP:0000137,Abnormality of the ovary,Phenotype,Abnormality of the ovaries | Ovarian disease
HP:0000138,Ovarian cyst,Phenotype,Cystic abnormalities of the ovaries | Cystic ovaries | Ovarian cystic abnormality
HP:0000139,Uterine prolapse,Phenotype,Sagging uterus
HP:0000140,Abnormality of the menstrual cycle,Phenotype,Menstrual abnormalities
HP:0000141,Amenorrhea,Phenotype,Abnormal absence of menstruation
HP:0000142,Abnormal vagina morphology,Phenotype,Vaginal malformation
HP:0000143,Rectovaginal fistula,Phenotype,Abnormal connection between rectum and vagina
HP:0000144,Decreased fertility,Phenotype,Abnormal fertility
HP:0000145,Transverse vaginal septum,Phenotype,Transverse vaginal membrane
HP:0000147,Polycystic ovaries,Phenotype,Polycystic ovary | Sclerocystic ovaries | Polycystic ovary disease
HP:0000148,Vaginal atresia,Phenotype,Abnormally closed or absent vagina
HP:0000149,Ovarian gonadoblastoma,Phenotype,"Gonadoblastoma, female"
HP:0000150,Gonadoblastoma,Phenotype,
HP:0000151,Aplasia of the uterus,Phenotype,Absent uterus | uterus absent
HP:0000152,Abnormality of head or neck,Phenotype,Head and neck abnormality
HP:0000153,Abnormality of the mouth,Phenotype,Abnormal mouth
HP:0000154,Wide mouth,Phenotype,Broad mouth | Large mouth | Large oral aperture | Macrostomia
HP:0000155,Oral ulcer,Phenotype,Mouth sore | Mouth ulcer | Oral mucosal ulceration
HP:0000157,Abnormality of the tongue,Phenotype,Abnormal tongue | Glossal abnormality | Lingual abnormality | Tongue abnormality
HP:0000158,Macroglossia,Phenotype,Glossal hypertrophy | Lingual hyperplasia | Lingual hypertrophy | Abnormally large tongue | Hyperplasia of the tongue | Hypertrophy of the tongue | Increased size of tongue | Large tongue | Tongue hypertrophy
HP:0000159,Abnormal lip morphology,Phenotype,Abnormal lip | Abnormality of the lip | Lip abnormality | Anomaly of lip | Deformity of lip | Malformation of lip
HP:0000160,Narrow mouth,Phenotype,Microstomia | Small mouth | Small oral aperture
HP:0000161,Median cleft upper lip,Phenotype,Central cleft upper lip | Midline cleft lip
HP:0000162,Glossoptosis,Phenotype,Posterior displacement of the tongue | Lingual retraction | Retraction of the tongue
HP:0000163,Abnormal oral cavity morphology,Phenotype,Abnormality of the oral cavity
HP:0000164,Abnormality of the dentition,Phenotype,Abnormal dentition | Abnormal teeth | Dental abnormalities | Dental abnormality | Dental anomalies | Abnormality of the teeth | Dental problem | Dental problems | Tooth abnormalities
HP:0000166,Severe periodontitis,Phenotype,Severe gum disease | Severe periodontal disease | Severe pyorrhea
HP:0000168,Abnormality of the gingiva,Phenotype,Abnormality of the gums | Gingival abnormality
HP:0000169,Gingival fibromatosis,Phenotype,Gingival fibroma | Gingival fibrous nodules | Hereditary gingival fibromatosis | Idiopathic gingival hyperplasia
HP:0000171,Microglossia,Phenotype,Abnormally small tongue | Decreased size of tongue | Hypoglossia | Hypoplasia of the tongue | Hypoplastic tongue | Lingual hypoplasia | Rudimentary tongue | Small tongue | Underdevelopment of the tongue
HP:0000172,Abnormal uvula morphology,Phenotype,Abnormality of palatine uvula | Abnormality of the uvula
HP:0000174,Abnormal palate morphology,Phenotype,Abnormality of the palate | Abnormality of the roof of the mouth | Palatal anomaly | Palate abnormality
HP:0000175,Cleft palate,Phenotype,Cleft secondary palate | Cleft hard and soft palate | Cleft of hard and soft palate | Cleft of palate | Cleft roof of mouth | Palatoschisis | Uranostaphyloschisis
HP:0000176,Submucous cleft hard palate,Phenotype,Partial thickness cleft hard palate
HP:0000177,Abnormal upper lip morphology,Phenotype,Abnormality of upper lip | Anomaly of the upper lip | Deformity of the upper lip | Malformation of the upper lip
HP:0000178,Abnormal lower lip morphology,Phenotype,Abnormality of lower lip | Anomaly of the lower lip | Deformity of the lower lip | Malformation of the lower lip
HP:0000179,Thick lower lip vermilion,Phenotype,Full lower lip vermilion | Increased height of lower lip vermilion | Increased volume of lower lip | Increased volume of lower lip vermilion | Plump lower lip | Prominent lower lip | Thick vermilion border of lower lip | Prominent lower lip vermilion | Thick red part of the lower lip | Full lower lip | Thick lower lip
HP:0000180,Lobulated tongue,Phenotype,Bumpy tongue | Lingual lobules | Lobulate tongue
HP:0000182,Movement abnormality of the tongue,Phenotype,Abnormality of lingual movement
HP:0000183,Tongue muscle weakness,Phenotype,
HP:0000185,Cleft soft palate,Phenotype,Cleft muscular palate | Cleft of soft palate | Cleft velum
HP:0000187,Broad alveolar ridges,Phenotype,Broad alveolar margins | Widened alveolar ridges | Broad alveolar processes of jaw | Wide alveolar margins | Wide alveolar processes of jaw | Wide gum ridges
HP:0000188,Short upper lip,Phenotype,Decreased height of upper lip | Decreased upper labial height | Decreased upper labial length | Decreased vertical length of upper lip | Shortening of upper lip | Vertical deficiency of upper lip
HP:0000189,Narrow palate,Phenotype,Decreased palatal width | Decreased transverse dimension of palate | Narrow roof of mouth
HP:0000190,Abnormal oral frenulum morphology,Phenotype,Abnormality of frenum of tongue | Abnormality of lingual frenum | Abnormality of oral frenula | Abnormality of oral frenum
HP:0000191,Accessory oral frenulum,Phenotype,Accessory oral frenum | Extra oral frenulum | Extra oral frenum | Multiple oral frenula | Supernumerary oral frenulum | Supernumerary oral frenum
HP:0000193,Bifid uvula,Phenotype,Bifid palatine uvula | Cleft of uvula | Cleft uvula | Forked uvula | Split uvula | Uvula bifida
HP:0000194,Open mouth,Phenotype,Gaped jawed appearance | Gaped mouthed appearance | Slack jawed appearance | Open mouth appearance
HP:0000196,Lower lip pit,Phenotype,
HP:0000197,Abnormal parotid gland morphology,Phenotype,Abnormality of parotid gland | Anomaly of the parotid gland
HP:0000198,Absence of Stensen duct,Phenotype,Absence of parotid duct | Absent stensen duct | Failure of development of parotid duct | Failure of development of stensen duct | Missing parotid duct | Missing stensen duct | Agenesis of parotid duct | Agenesis of stensen duct
HP:0000199,Tongue nodules,Phenotype,Lingual nodules
HP:0000200,Short lingual frenulum,Phenotype,Hypoplasia of lingual frenulum | Hypoplasia of lingual frenum | Hypoplasia of tongue frenulum | Hypoplasia of tongue frenum | Deficiency of lingual frenulum | Short lingual frenum | Short tongue frenulum | Short tongue frenum | Tight lingual frenulum
HP:0000201,Pierre-Robin sequence,Phenotype,Pierre Robin sequence | Pierre-robin anomaly | Pierre-robin deformity | Pierre-robin malformation | Robin sequence
HP:0000202,Orofacial cleft,Phenotype,"Cleft of the mouth | Oral cleft | Oral clefting | Cleft lip, cleft palate | Cleft lip/palate"
HP:0000204,Cleft upper lip,Phenotype,Cheiloschisis of upper lip | Harelip | Cleft of upper lip
HP:0000205,Pursed lips,Phenotype,Tightly closed lips
HP:0000206,Glossitis,Phenotype,Inflammation of the tongue | Lingual inflammation | Smooth swollen tongue
HP:0000207,Triangular mouth,Phenotype,Triangular shaped mouth | Triangular shaped oral aperture
HP:0000211,Trismus,Phenotype,Decrease in jaw mobility | Decrease in jaw movement | Decrease in jaw opening | Decrease in mandibular mobility | Decrease in mandibular movement | Decrease in mandibular opening | Limited jaw mobility | Limited jaw movement | Limited jaw opening | Limited mandibular mobility | Limited mandibular opening | Limited mouth opening | Lockjaw | Pain of muscles of mastication
HP:0000212,Gingival overgrowth,Phenotype,Gingival enlargement | Gingival hyperplasia | Gum enlargement | Gum hypertrophy | Hypertrophic gingivitis | Oral soft tissue hyperplasia
HP:0000214,Lip telangiectasia,Phenotype,Labial telangiectasia | Lip telangiectases | Telangiectasia of the lips | Angioectasias of the lip | Labial angioectasias | Spider veins of the lip
HP:0000215,Thick upper lip vermilion,Phenotype,Full upper lip | Full upper lip vermilion | Increased height of upper lip vermilion | Increased volume of upper lip | Increased volume of upper lip vermilion | Plump upper lip | Prominent upper lip | Thick upper lip | Thick vermilion border of upper lip | Prominent upper lip vermilion | Thick red part of the upper lip
HP:0000216,Broad secondary alveolar ridge,Phenotype,Secondary alveolar ridges
HP:0000217,Xerostomia,Phenotype,Decreased salivary flow | Dry mouth | Dry mouth syndrome | Reduced salivation
HP:0000218,High palate,Phenotype,"Elevated palate | High arched palate | High, arched palate | High-arched palate | Increased palatal height | Palate high-arched | Palate, high-arched | Ogival palate"
HP:0000219,Thin upper lip vermilion,Phenotype,Decreased height of upper lip vermilion | Decreased volume of upper lip | Decreased volume of upper lip vermilion | Thin upper lip | Thin vermilion border of upper lip | Thin red part of the upper lip | Thin upper lips
HP:0000220,Velopharyngeal insufficiency,Phenotype,Velopharyngeal dysfunction | Velopharyngeal incompetence
HP:0000221,Furrowed tongue,Phenotype,Fissured tongue | Grooved tongue | Lingua plicata | Lingual furrow | Plicated tongue | Prominent tongue grooves | Scrotal tongue
HP:0000222,Gingival hyperkeratosis,Phenotype,"Hyperkeratosis, gingival"
HP:0000223,Abnormality of taste sensation,Phenotype,
HP:0000224,Hypogeusia,Phenotype,Decreased taste | Decreased taste sensation
HP:0000225,Gingival bleeding,Phenotype,Bleeding gums | Gingival haemorrhage | Gingival hemorrhage | Gingivorrhagia
HP:0000227,Tongue telangiectasia,Phenotype,Lingual telangiectasia | Angioectasias of the tongue | Lingual angioectasias | Spider veins of the tongue
HP:0000228,Oral cavity telangiectasia,Phenotype,Oral cavity teleangiectasia | Angioectasias of the mouth | Angioectasias of the oral cavity | Spider veins of the mouth | Spider veins of the oral cavity
HP:0000230,Gingivitis,Phenotype,Gingival inflammation | Inflamed gums | Red and swollen gums
HP:0000232,Everted lower lip vermilion,Phenotype,Drooping lower lip | Eclabium of lower lip | Everted lower lip | Everted prominent lower lip | Outward turned lower lip | Protruding lower lip
HP:0000233,Thin vermilion border,Phenotype,Decreased volume of lip | Decreased volume of lip vermillion | Thin lips | Thin vermillion | Thin vermilion borders
HP:0000234,Abnormality of the head,Phenotype,Abnormal head | Head abnormality
HP:0000235,Abnormal cranial suture/fontanelle morphology,Phenotype,Abnormality of the fontanelles or cranial sutures
HP:0000236,Abnormal anterior fontanelle morphology,Phenotype,Abnormality of the anterior fontanelle | Abnormality of the forehead soft spot
HP:0000237,Small anterior fontanelle,Phenotype,Small anterior fontanel | Small forehead fontanel
HP:0000238,Hydrocephalus,Phenotype,Hydrocephaly | Nonsyndromal hydrocephalus | Too much cerebrospinal fluid in the brain
HP:0000239,Large fontanelles,Phenotype,"Enlarged fontanelles | Large fontanel | Large fontanelle | Large fontanels | Persistent wide fontanel | Wide fontanelles | Large bregma sutures | Large, late-closing fontanelle | Wide bregma sutures"
HP:0000240,Abnormality of skull size,Phenotype,Abnormality of head size | Abnormality of cranium size
HP:0000242,Parietal bossing,Phenotype,Biparietal bossing | Bossing of parietal bone
HP:0000243,Trigonocephaly,Phenotype,Triangular head shape | Wedge shaped head | Triangular cranium shape | Triangular skull shape | Wedge shaped cranium | Wedge shaped skull
HP:0000244,Brachyturricephaly,Phenotype,"Brachy-turricephaly | High, prominent forehead | Turribrachycephaly"
HP:0000245,Abnormal paranasal sinus morphology,Phenotype,Abnormality of the sinuses | Abnormality of the sinuses of the head | Abnormality of the paranasal sinuses
HP:0000246,Sinusitis,Phenotype,Sinus infection | Sinus inflammation | Sinus disease
HP:0000248,Brachycephaly,Phenotype,Broad cranium shape | Broad head shape | Broad skull shape | Wide cranium shape | Wide head shape | Wide skull shape | Short and broad skull
HP:0000250,Dense calvaria,Phenotype,Dense skull cap
HP:0000252,Microcephaly,Phenotype,Abnormally small head | Decreased size of head | Small head | Small skull | Abnormally small cranium | Abnormally small skull | Decreased circumference of cranium | Decreased size of cranium | Decreased size of skull | Reduced head circumference | Small head circumference | small cranium | small calvarium
HP:0000253,Progressive microcephaly,Phenotype,"Microcephaly, postnatal, progressive | Microcephaly, progressive | Progressively abnormally small cranium | Progressively abnormally small skull"
HP:0000255,Acute sinusitis,Phenotype,
HP:0000256,Macrocephaly,Phenotype,Big calvaria | Big cranium | Big head | Big skull | Increased size of head | Large calvaria | Large cranium | Large skull | Increased size of cranium | Increased size of skull | Large head | Large head circumference | Macrocephalus | Macrocrania | Megacephaly
HP:0000260,Wide anterior fontanel,Phenotype,Large anterior fontanel | Large anterior fontanelle | Large open anterior fontanel | Large open anterior fontanelle | Wide anterior fontanelle | Wide open anterior fontanelle | Wider-than-typical soft spot of skull | Large anterior fontanels
HP:0000262,Turricephaly,Phenotype,Tall shaped head | Tall shaped cranium | Tall shaped skull | Tower cranium shape | Tower skull shape | Turricephalus
HP:0000263,Oxycephaly,Phenotype,Acrocephaly
HP:0000264,Abnormal mastoid morphology,Phenotype,Abnormality of mastoid process of temporal bone | Abnormality of the mastoid
HP:0000265,Mastoiditis,Phenotype,
